1741224446.048572311 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741224453.122289727 64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=184 ms
1741224453.173267761 64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=131 ms
1741224453.278031885 64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=136 ms
1741224453.377667905 64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=132 ms
1741224453.452097414 64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=105 ms
1741224453.546172321 64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=100 ms
1741224453.650639439 64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=104 ms
1741224453.752755509 64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=99.4 ms
1741224453.848582452 64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=95.2 ms
1741224453.961149734 64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=108 ms
1741224454.058209702 64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=104 ms
1741224454.171347996 64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=117 ms
1741224454.263174857 64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=105 ms
1741224454.377578178 64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=116 ms
1741224454.480986274 64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=121 ms
1741224454.596358613 64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=134 ms
1741224454.689715507 64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=128 ms
1741224454.805057844 64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=140 ms
1741224454.921569206 64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=152 ms
1741224455.022039243 64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=150 ms
1741224455.114945127 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=144 ms
1741224455.227018399 64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=157 ms
1741224455.324916384 64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=152 ms
