1741225067.764026335 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741225067.780669672 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=27.4 ms
1741225067.918503466 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=82.3 ms
1741225068.193580044 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=150 ms
1741225068.256227314 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=91.8 ms
1741225068.524910762 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=64.1 ms
1741225068.634716988 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=67.2 ms
1741225068.739202106 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=72.0 ms
1741225068.923292838 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=53.3 ms
1741225069.127765984 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=47.0 ms
1741225069.205306556 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=26.6 ms
1741225069.323335949 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=43.1 ms
1741225069.423138973 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=41.1 ms
1741225069.522666990 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=39.1 ms
1741225069.608465730 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=23.3 ms
1741225069.715939909 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=28.3 ms
1741225070.023718149 64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=24.4 ms
1741225070.121965141 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=24.2 ms
1741225070.221831166 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=23.8 ms
1741225070.327241303 64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=25.8 ms
1741225070.429968385 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=26.6 ms
1741225070.528498383 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=25.6 ms
1741225070.627967400 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=22.9 ms
1741225070.730650482 64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=24.8 ms
1741225070.828557467 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=22.7 ms
1741225071.135465689 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=126 ms
1741225071.308487197 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=89.5 ms
1741225071.410386263 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=93.1 ms
1741225071.549859091 64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=132 ms
1741225071.779111739 64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=153 ms
1741225071.845071076 64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=117 ms
1741225071.963685481 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=137 ms
1741225072.060329440 64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=133 ms
1741225072.159811457 64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=128 ms
1741225072.207333421 64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=77.2 ms
1741225072.296997238 64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=64.3 ms
1741225072.376813857 64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=44.1 ms
1741225072.509278542 64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=73.8 ms
