1741223949.358660617 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741223958.398777881 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=102 ms
1741223958.515388245 64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=115 ms
1741223958.627634520 64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=124 ms
1741223958.834778719 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=129 ms
1741223959.061503316 64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=150 ms
1741223959.126583635 64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=112 ms
1741223959.200540134 64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=85.8 ms
1741223959.312971413 64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=90.0 ms
1741223959.406885317 64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=86.6 ms
1741223959.500882223 64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=81.0 ms
1741223959.636138965 64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=114 ms
1741223959.731931907 64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=107 ms
1741223959.836686031 64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=112 ms
1741223959.943764201 64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=116 ms
1741223960.051965395 64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=121 ms
1741223960.138429148 64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=107 ms
1741223960.250472419 64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=119 ms
1741223960.349196420 64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=116 ms
1741223960.463476737 64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=129 ms
1741223960.572216941 64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=133 ms
1741223960.684340214 64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=145 ms
1741223960.780687167 64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=141 ms
1741223960.884943281 64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=146 ms
1741223960.990411419 64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=150 ms
1741223961.090589450 64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=145 ms
1741223961.203806745 64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=158 ms
1741223961.298973674 64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=154 ms
1741223961.378716291 64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=135 ms
