1741224197.586013958 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741224206.548563660 64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=531 ms
1741224206.646616648 64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=528 ms
1741224206.761384975 64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=541 ms
1741224206.871732212 64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=546 ms
1741224207.036908560 64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=508 ms
1741224207.084193519 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=455 ms
1741224207.140277656 64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=410 ms
1741224207.180048463 64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=350 ms
1741224207.271129309 64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=336 ms
1741224207.387987678 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=350 ms
1741224207.483667618 64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=345 ms
1741224207.587086715 64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=348 ms
1741224207.644190872 64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=304 ms
1741224207.750890036 64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=308 ms
1741224207.845396952 64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=304 ms
1741224207.952065115 64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=309 ms
1741224208.057266248 64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=312 ms
1741224208.157408278 64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=309 ms
1741224208.271794597 64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=320 ms
1741224208.374537680 64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=324 ms
1741224208.479999818 64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=328 ms
1741224208.585384954 64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=331 ms
1741224208.699289264 64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=341 ms
1741224208.805619419 64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=344 ms
1741224208.920763754 64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=357 ms
1741224209.023435835 64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=360 ms
1741224209.128859973 64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=365 ms
1741224209.235910143 64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=371 ms
1741224209.334218136 64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=367 ms
1741224209.447859440 64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=379 ms
1741224209.543634382 64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=375 ms
1741224209.665823859 64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=394 ms
1741224209.762566820 64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=390 ms
1741224209.866597929 64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=393 ms
1741224209.976732162 64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=398 ms
1741224210.081406284 64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=401 ms
1741224210.195071588 64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=413 ms
1741224210.289745508 64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=408 ms
1741224210.402542795 64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=417 ms
1741224210.508373940 64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=418 ms
1741224210.624008285 64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=428 ms
1741224210.727703387 64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=424 ms
1741224210.825754375 64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=422 ms
1741224210.937633643 64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=432 ms
1741224211.061835161 64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=454 ms
1741224211.150040949 64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=440 ms
1741224211.266891318 64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=453 ms
1741224211.372440458 64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=457 ms
1741224211.474479527 64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=458 ms
1741224211.578889644 64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=462 ms
1741224211.677113636 64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=459 ms
1741224211.788319890 64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=465 ms
1741224211.892153995 64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=468 ms
