1741224326.322257942 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741224326.335435209 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=25.3 ms
1741224326.519664944 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=122 ms
1741224326.713691878 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=214 ms
1741224326.907245802 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=306 ms
1741224327.103677785 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=401 ms
1741224327.199988738 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=398 ms
1741224327.300433774 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=390 ms
1741224327.433635475 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=419 ms
1741224327.524082308 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=408 ms
1741224327.621329280 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=405 ms
1741224327.750699903 64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=433 ms
1741224327.846636848 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=425 ms
1741224327.946541873 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=423 ms
1741224328.058921151 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=428 ms
1741224328.189217793 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=452 ms
1741224328.288494805 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=448 ms
1741224328.384452751 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=445 ms
1741224328.496651026 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=454 ms
1741224328.611117346 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=466 ms
1741224328.714457442 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=465 ms
1741224328.829826780 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=476 ms
1741224328.912797462 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=463 ms
1741224329.041063063 64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=490 ms
1741224329.146496200 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=493 ms
1741224329.244884195 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=489 ms
1741224329.358313495 64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=501 ms
1741224329.472348807 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=512 ms
1741224329.577645941 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=516 ms
1741224329.673617887 64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=512 ms
1741224329.787100188 64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=523 ms
1741224329.890367282 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=516 ms
1741224330.006204630 64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=533 ms
1741224330.107082675 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=530 ms
1741224330.218219928 64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=532 ms
1741224330.339387384 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=550 ms
1741224330.437438372 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=540 ms
1741224330.638674452 64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=632 ms
1741224330.740612519 64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=637 ms
1741224330.845650648 64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=639 ms
1741224330.968242134 64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=661 ms
1741224331.064010076 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=655 ms
1741224331.180327434 64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=668 ms
1741224331.421840330 64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=705 ms
1741224331.759966186 64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=739 ms
1741224331.871898455 64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=751 ms
1741224331.978364614 64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=754 ms
1741224332.176226626 64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=744 ms
1741224332.272576579 64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=736 ms
1741224332.368699528 64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=731 ms
1741224332.468266546 64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=724 ms
1741224332.667868593 64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=722 ms
1741224332.985677036 64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=630 ms
1741224333.056645475 64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=602 ms
1741224333.282157047 64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=621 ms
1741224333.374960928 64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=610 ms
1741224333.473352923 64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=606 ms
1741224333.580245090 64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=609 ms
1741224333.664608800 64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=596 ms
1741224333.835690269 64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=556 ms
1741224333.973403061 64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=484 ms
1741224334.046775549 64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=457 ms
1741224334.138700412 64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=445 ms
1741224334.233919343 64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=438 ms
1741224334.373440172 64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=473 ms
1741224334.476889269 64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=479 ms
1741224334.679052367 64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=478 ms
1741224334.774512302 64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=467 ms
1741224334.850132835 64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=446 ms
1741224334.961423092 64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=457 ms
1741224335.075825411 64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=467 ms
1741224335.174665415 64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=461 ms
