1741224068.795394924 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741224068.809106202 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=27.6 ms
1741224068.973712539 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=105 ms
1741224069.119069486 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=149 ms
1741224069.329038743 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=157 ms
1741224069.531403846 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=148 ms
1741224069.607351385 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=120 ms
1741224069.678802834 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=92.2 ms
1741224069.783183950 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=97.6 ms
1741224069.897324264 64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=111 ms
1741224070.013067610 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=120 ms
1741224070.128745955 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=132 ms
1741224070.240338218 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=145 ms
1741224070.354030523 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=159 ms
1741224070.545474404 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=148 ms
1741224070.764816850 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=159 ms
1741224070.852014618 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=147 ms
1741224070.935065301 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=128 ms
1741224071.072928096 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=162 ms
1741224071.143431526 64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=133 ms
1741224071.225082181 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=115 ms
1741224071.347801669 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=135 ms
