1741225446.315579354 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741225454.995682345 64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=37.7 ms
1741225455.099833457 64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=41.3 ms
1741225455.333871202 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=70.4 ms
1741225455.600498607 64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=24.0 ms
1741225455.711077849 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=37.2 ms
1741225455.799556643 64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=24.4 ms
1741225455.905785797 64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=24.2 ms
1741225456.005650822 64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=23.9 ms
1741225456.106332863 64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=25.1 ms
1741225456.203722838 64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=22.4 ms
1741225456.308292958 64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=23.2 ms
1741225456.413197085 64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=23.1 ms
1741225456.520901269 64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=31.7 ms
1741225456.613852154 64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=24.6 ms
1741225456.715523215 64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=25.4 ms
1741225456.925437471 64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=24.0 ms
1741225457.023253454 64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=22.9 ms
1741225457.121507446 64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=22.6 ms
1741225457.225106547 64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=24.8 ms
1741225457.431794738 64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=24.4 ms
1741225457.532185774 64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=25.4 ms
1741225457.644639054 64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=35.7 ms
1741225457.759486383 64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=50.1 ms
1741225457.988135019 64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=73.3 ms
1741225458.059314462 64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=41.7 ms
1741225458.164802600 64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=48.4 ms
1741225458.284904035 64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=67.3 ms
1741225458.383549035 64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=64.6 ms
1741225458.518535772 64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=91.6 ms
1741225458.619609821 64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=97.0 ms
1741225458.717173799 64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=94.0 ms
1741225458.774039952 64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=52.2 ms
1741225458.847614444 64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=23.3 ms
1741225459.092072401 64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=54.8 ms
1741225459.177885140 64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=43.4 ms
1741225459.284152294 64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=47.7 ms
1741225459.361893870 64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=22.4 ms
1741225459.490163471 64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=48.9 ms
1741225459.604453789 64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=60.9 ms
1741225459.713473999 64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=71.5 ms
1741225459.993423675 64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=146 ms
1741225460.055687937 64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=107 ms
1741225460.107105980 64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=56.6 ms
1741225460.283615558 64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=25.6 ms
1741225460.378057473 64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=23.1 ms
1741225460.481906578 64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=25.7 ms
1741225460.692001838 64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=34.3 ms
1741225460.802301075 64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=38.3 ms
