1741225568.365925939 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741225576.434530527 64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=51.3 ms
1741225576.547431816 64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=63.4 ms
1741225576.641481723 64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=56.7 ms
1741225576.756238049 64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=71.4 ms
1741225576.839189731 64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=49.5 ms
1741225576.954286065 64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=62.7 ms
1741225577.144474921 64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=51.1 ms
1741225577.343570957 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=41.6 ms
1741225577.438272877 64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=38.3 ms
1741225577.739255980 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=24.7 ms
1741225577.837419970 64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=25.6 ms
1741225577.958784431 64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=46.5 ms
1741225578.070299692 64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=58.0 ms
1741225578.284517035 64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=64.2 ms
1741225578.353616436 64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=34.7 ms
1741225578.483882077 64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=63.6 ms
1741225578.583708101 64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=60.2 ms
1741225578.678041014 64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=54.6 ms
1741225578.860789719 64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=135 ms
1741225578.948944507 64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=120 ms
1741225579.040014353 64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=108 ms
1741225579.164339873 64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=128 ms
1741225579.258737787 64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=124 ms
1741225579.345477546 64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=111 ms
1741225579.436608393 64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=98.7 ms
1741225579.533813364 64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=96.3 ms
1741225579.640903535 64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=104 ms
1741225579.727999301 64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=91.0 ms
1741225579.826980308 64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=88.1 ms
1741225579.919224178 64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=77.0 ms
1741225580.011329045 64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=71.4 ms
1741225580.107693999 64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=67.3 ms
1741225580.219605267 64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=72.4 ms
1741225580.307264045 64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=60.5 ms
1741225580.410051129 64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=62.7 ms
1741225580.514589248 64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=67.2 ms
1741225580.581525606 64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=32.2 ms
1741225580.674971500 64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=24.3 ms
1741225580.773867505 64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=21.7 ms
1741225580.874973555 64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=23.1 ms
1741225580.988665860 64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=32.1 ms
1741225581.083793789 64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=25.5 ms
1741225581.197201088 64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=38.3 ms
1741225581.302403221 64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=42.5 ms
1741225581.422578658 64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=60.8 ms
1741225581.537282983 64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=74.6 ms
1741225581.643015127 64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=78.0 ms
1741225581.728037851 64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=60.5 ms
1741225581.813401582 64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=46.3 ms
1741225581.944178233 64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=75.9 ms
1741225582.165871728 64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=90.1 ms
1741225582.278565013 64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=102 ms
1741225582.382050111 64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=105 ms
1741225582.478661070 64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=101 ms
1741225582.652045585 64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=63.2 ms
1741225582.740511379 64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=52.7 ms
1741225582.893322477 64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=103 ms
1741225583.016227969 64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=123 ms
1741225583.087895422 64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=93.3 ms
1741225583.172009127 64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=76.4 ms
1741225583.309144908 64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=113 ms
1741225583.518114145 64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=119 ms
1741225583.622209255 64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=121 ms
1741225583.712764091 64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=108 ms
1741225583.819719259 64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=113 ms
1741225583.965963224 64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=57.1 ms
1741225584.073076396 64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=61.4 ms
1741225584.157847115 64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=48.6 ms
1741225584.234763674 64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=24.4 ms
1741225584.340771823 64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=24.1 ms
1741225584.440934854 64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=25.4 ms
1741225584.792062973 64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=65.1 ms
1741225584.891249984 64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=62.2 ms
1741225585.005510300 64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=73.2 ms
1741225585.084339898 64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=53.8 ms
1741225585.396665231 64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=54.2 ms
1741225585.500985346 64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=57.6 ms
1741225585.701074402 64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=56.2 ms
1741225585.791583238 64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=43.1 ms
1741225585.874202913 64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=25.7 ms
1741225585.993793337 64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=45.2 ms
1741225586.100130493 64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=51.3 ms
1741225586.285989262 64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=25.8 ms
1741225586.381885206 64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=23.0 ms
1741225586.481558227 64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=23.1 ms
1741225586.585454333 64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=22.3 ms
1741225586.809791881 64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=40.7 ms
1741225587.107991927 64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=29.6 ms
1741225587.202228837 64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=27.1 ms
1741225587.299979819 64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=23.2 ms
