1741225693.797630031 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741225702.152776430 64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=22.7 ms
1741225702.255923521 64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=22.6 ms
1741225702.360716645 64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=24.6 ms
1741225702.499932468 64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=62.9 ms
1741225702.732514184 64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=93.6 ms
1741225702.820188961 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=82.7 ms
1741225702.930198192 64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=92.5 ms
1741225703.045795535 64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=108 ms
1741225703.147159590 64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=102 ms
1741225703.277944242 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=131 ms
1741225703.355287810 64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=109 ms
1741225703.435802442 64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=89.6 ms
1741225703.528633324 64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=78.4 ms
1741225703.615283081 64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=65.0 ms
1741225703.712236047 64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=61.6 ms
1741225703.810795045 64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=57.4 ms
1741225704.040115695 64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=79.9 ms
1741225704.135963638 64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=78.0 ms
1741225704.264941253 64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=106 ms
1741225704.460229212 64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=94.2 ms
1741225704.543292896 64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=76.9 ms
1741225704.654121143 64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=87.9 ms
1741225704.734326770 64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=68.7 ms
1741225704.817986465 64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=48.1 ms
1741225704.930249742 64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=59.3 ms
1741225705.043168031 64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=70.9 ms
1741225705.268921608 64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=96.5 ms
1741225705.382355909 64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=110 ms
1741225705.686724079 64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=209 ms
1741225705.848265354 64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=270 ms
1741225705.961334646 64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=279 ms
1741225706.109489650 64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=324 ms
1741225706.186133204 64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=303 ms
1741225706.300840530 64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=317 ms
1741225706.398460509 64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=313 ms
1741225706.479088144 64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=292 ms
1741225706.636449334 64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=343 ms
1741225706.717067968 64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=323 ms
1741225707.002148749 64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=402 ms
1741225707.130484351 64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=429 ms
1741225707.243217636 64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=442 ms
1741225707.292992646 64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=390 ms
1741225707.401124838 64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=387 ms
1741225707.510647058 64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=396 ms
1741225707.589026648 64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=375 ms
1741225707.633426548 64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=317 ms
1741225707.696294823 64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=278 ms
1741225707.796811861 64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=273 ms
1741225707.919912357 64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=294 ms
1741225708.152036063 64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=324 ms
1741225708.370048483 64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=336 ms
1741225708.499076099 64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=362 ms
1741225708.704697268 64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=359 ms
1741225708.792874056 64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=348 ms
1741225708.898290193 64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=352 ms
1741225708.979256835 64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=331 ms
1741225709.061512503 64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=310 ms
1741225709.140428103 64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=289 ms
1741225709.199203294 64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=144 ms
1741225709.264141611 64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=108 ms
1741225709.334650040 64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=75.2 ms
1741225709.382085002 64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=23.3 ms
1741225709.485738104 64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=24.3 ms
1741225709.587977177 64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=23.1 ms
1741225709.896989442 64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=25.6 ms
1741225709.997292476 64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=24.4 ms
1741225710.107763715 64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=32.2 ms
1741225710.244291484 64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=67.1 ms
1741225710.359240814 64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=80.4 ms
1741225710.585877409 64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=102 ms
1741225710.714632020 64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=129 ms
1741225710.844382651 64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=155 ms
1741225711.022357259 64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=127 ms
1741225711.138738618 64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=138 ms
1741225711.208341030 64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=112 ms
1741225711.291930724 64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=91.1 ms
1741225711.397703869 64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=96.8 ms
1741225711.500477953 64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=61.0 ms
1741225711.557170102 64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=49.2 ms
1741225711.797286971 64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=79.2 ms
1741225711.891626884 64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=75.6 ms
1741225711.987719832 64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=71.7 ms
1741225712.090814922 64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=74.3 ms
1741225712.208464307 64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=87.0 ms
1741225712.324131652 64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=99.1 ms
1741225712.436836937 64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=113 ms
1741225712.497432166 64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=76.2 ms
1741225712.596617176 64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=71.3 ms
1741225712.721627711 64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=91.1 ms
1741225712.819852702 64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=88.8 ms
1741225712.929528926 64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=103 ms
1741225713.103292449 64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=66.9 ms
1741225713.303895516 64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=65.5 ms
1741225713.398821441 64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=61.2 ms
1741225713.516281822 64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=73.6 ms
1741225713.670045940 64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=24.6 ms
1741225713.814474869 64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=66.6 ms
1741225713.913179870 64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=62.0 ms
1741225714.028193201 64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=74.9 ms
1741225714.281312334 64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=124 ms
1741225714.421359173 64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=160 ms
1741225714.576308315 64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=218 ms
1741225714.694350708 64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=231 ms
1741225715.050849935 64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=279 ms
1741225715.113675209 64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=241 ms
1741225715.404650109 64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=326 ms
1741225715.535271757 64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=356 ms
1741225715.635421788 64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=353 ms
1741225715.749878108 64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=358 ms
1741225715.862311388 64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=370 ms
1741225715.992456026 64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=399 ms
1741225716.089084986 64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=396 ms
1741225716.201866272 64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=408 ms
1741225716.297979221 64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=403 ms
1741225716.397264233 64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=395 ms
1741225716.527376872 64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=424 ms
1741225716.624329838 64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=419 ms
1741225716.754447476 64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=442 ms
1741225716.946496370 64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=433 ms
1741225717.031389091 64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=413 ms
1741225717.126880027 64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=407 ms
1741225717.222293961 64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=403 ms
1741225717.298173500 64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=376 ms
