1741223828.556800775 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741223828.570894060 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=31.9 ms
1741223828.751115713 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=123 ms
1741223828.889980528 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=163 ms
1741223829.059890973 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=132 ms
1741223829.127105335 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=97.3 ms
1741223829.226473350 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=94.8 ms
1741223829.346792789 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=116 ms
1741223829.440831695 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=112 ms
1741223829.517925257 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=84.6 ms
1741223829.633850607 64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=98.2 ms
1741223829.736567689 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=104 ms
1741223829.840729801 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=108 ms
1741223829.953509087 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=119 ms
1741223830.049636036 64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=115 ms
1741223830.171800512 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=135 ms
1741223830.268240466 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=131 ms
1741223830.389958934 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=151 ms
1741223830.490644975 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=149 ms
1741223830.602955251 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=160 ms
1741223830.808896426 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=160 ms
1741223831.018256669 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=164 ms
