1741225316.512083611 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741225316.524157855 64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=25.8 ms
1741225316.633431071 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=28.0 ms
1741225316.728288994 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=22.8 ms
1741225316.832099099 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=24.5 ms
1741225316.934009165 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=25.4 ms
1741225317.134739235 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=23.0 ms
1741225317.241492399 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=24.9 ms
1741225317.342263442 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=25.2 ms
1741225317.441702458 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=24.2 ms
1741225317.756556841 64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=132 ms
1741225317.837288478 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=108 ms
1741225317.942266607 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=113 ms
1741225318.130897432 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=96.3 ms
1741225318.184467518 64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=52.5 ms
1741225318.436677631 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=99.2 ms
1741225318.529430512 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=88.3 ms
1741225318.605645057 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=66.2 ms
1741225318.688106729 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=47.3 ms
1741225318.802305044 64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=58.0 ms
1741225318.902642078 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=55.1 ms
1741225319.013329322 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=65.0 ms
1741225319.354422238 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=101 ms
1741225319.677603790 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=116 ms
1741225319.749500248 64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=85.0 ms
1741225319.888786072 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=122 ms
1741225320.053060402 64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=178 ms
1741225320.132445013 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=157 ms
1741225320.209052565 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=131 ms
1741225321.242156511 64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=126 ms
1741225321.435859439 64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=116 ms
1741225321.510940960 64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=87.9 ms
1741225321.596426694 64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=74.2 ms
