1741225197.012661800 PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
1741225197.026126073 64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=102 ms
1741225197.172958050 64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=161 ms
1741225197.229205190 64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=113 ms
1741225197.293849501 64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=75.7 ms
1741225197.392703505 64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=72.5 ms
1741225197.456003789 64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=34.5 ms
1741225197.545483603 64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=21.3 ms
1741225197.670117130 64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=43.4 ms
1741225197.759843949 64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=29.3 ms
1741225198.084396529 64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=45.6 ms
1741225198.163349130 64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=23.0 ms
1741225198.368024280 64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=25.4 ms
1741225198.573659450 64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=25.4 ms
1741225198.679179589 64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=30.8 ms
1741225198.790578848 64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=43.5 ms
1741225198.873836536 64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=25.8 ms
1741225198.981638721 64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=31.7 ms
1741225199.180532754 64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=24.1 ms
1741225199.279681764 64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=24.3 ms
1741225199.380686812 64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=24.3 ms
1741225199.484923925 64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=23.9 ms
1741225199.586602987 64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=24.2 ms
1741225199.792016151 64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=26.2 ms
1741225199.911125566 64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=44.7 ms
1741225200.002655422 64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=34.0 ms
1741225200.104415485 64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=33.4 ms
1741225200.195676335 64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=24.4 ms
1741225200.293261314 64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=21.9 ms
1741225200.404612572 64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=30.8 ms
1741225200.499548497 64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=24.4 ms
1741225200.597515483 64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=20.7 ms
1741225200.700413569 64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=23.4 ms
1741225200.827304142 64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=49.8 ms
1741225200.932818281 64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=54.1 ms
1741225201.097685623 64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=117 ms
1741225201.237504458 64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=150 ms
1741225201.522573238 64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=126 ms
1741225201.608723985 64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=111 ms
1741225201.689657625 64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=89.5 ms
1741225201.868475251 64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=66.3 ms
1741225201.941713736 64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=38.4 ms
1741225202.050564943 64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=42.6 ms
1741225202.147495908 64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=40.9 ms
1741225202.232963641 64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=28.0 ms
1741225202.332565660 64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=25.7 ms
1741225202.768348496 64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=39.0 ms
1741225202.960589393 64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=24.0 ms
1741225203.063126472 64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=25.7 ms
1741225203.160519446 64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=24.5 ms
1741225203.394979200 64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=53.0 ms
1741225203.601467386 64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=52.5 ms
1741225203.688985161 64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=40.8 ms
1741225203.873138895 64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=24.2 ms
1741225204.080087091 64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=24.0 ms
1741225204.228603102 64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=70.1 ms
1741225204.316018874 64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=58.8 ms
1741225204.415512891 64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=56.2 ms
1741225204.594648523 64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=30.7 ms
1741225204.686303382 64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=23.5 ms
1741225204.789800480 64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=24.7 ms
1741225204.931812360 64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=66.5 ms
1741225205.005984863 64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=37.1 ms
1741225205.119629168 64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=48.4 ms
1741225205.233136469 64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=60.4 ms
1741225205.346191761 64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=72.8 ms
1741225205.531574520 64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=52.9 ms
1741225205.726343469 64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=43.5 ms
1741225205.816974306 64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=32.3 ms
1741225205.954390092 64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=68.0 ms
1741225206.073478507 64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=87.9 ms
1741225206.153708133 64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=67.2 ms
1741225206.278910672 64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=89.9 ms
1741225206.390586936 64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=103 ms
1741225206.486638884 64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=97.2 ms
1741225206.721994656 64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=23.0 ms
